file,genre,total,a,b,p_a_s,p_b_s,dendro_color
鑑定,随筆,30,8,0,0.2741935483870970,0.0161290322580645,緑
澄江堂雑記,随筆,559,167,8,0.2991071428571430,0.0151785714285714,緑
東京に生れて,アンケート,28,8,0,0.293103448275862,0.0172413793103448,緑
西洋画のやうな日本画,評論,32,9,0,0.2878787878787880,0.0151515151515151,緑
一番気乗のする時,随筆,39,10,0,0.2625,0.0125,緑
滝田哲太郎氏,追悼文,38,10,0,0.2692307692307690,0.0128205128205128,緑
文章と言葉と,随筆,29,7,0,0.25,0.0166666666666666,緑
煙管,小説,201,50,2,0.25,0.0123762376237623,緑
秋,小説,369,93,5,0.2527027027027030,0.0148648648648648,緑
風変りな作品に就いて,随筆,36,9,0,0.2567567567567570,0.0135135135135135,緑
愛読書の印象,随筆,43,13,0,0.3068181818181820,0.0113636363636363,緑
一つの作が出来上るまで,随筆,44,13,0,0.3,0.0111111111111111,緑
江口渙氏の事,人物記,47,14,0,0.3020833333333330,0.0104166666666666,緑
平田先生の翻訳,評論,39,12,0,0.3125,0.0125,緑
鷺と鴛鴦,随筆,41,13,0,0.3214285714285710,0.0119047619047619,緑
蜜柑_1,小説,59,18,0,0.3083333333333330,0.0083333333333333,緑
蜜柑_2,小説,59,18,0,0.3083333333333330,0.0083333333333333,緑
蛙,小説,61,18,0,0.2983870967741940,0.0080645161290322,緑
蜜柑,小説,60,18,0,0.3032786885245900,0.0081967213114754,緑
十本の針,断章,80,24,0,0.3024691358024690,0.0061728395061728,緑
変遷その他,随筆,93,27,0,0.2925531914893620,0.0053191489361702,緑
支那の画,随筆,54,12,0,0.2272727272727270,0.009090909090909,緑
あの頃の自分の事,小説,420,101,3,0.2410926365795720,0.008313539192399,緑
拊掌談,断章,65,16,0,0.25,0.0075757575757575,緑
好色,小説,382,88,2,0.2310704960835510,0.0065274151436031,緑
孤独地獄,小説,89,21,0,0.2388888888888890,0.0055555555555555,緑
大導寺信輔の半生,小説,463,119,2,0.2575431034482760,0.0053879310344827,緑
大導寺信輔の半生_1,小説,463,119,2,0.2575431034482760,0.0053879310344827,緑
お時儀,小説,143,36,0,0.2534722222222220,0.0034722222222222,緑
枯野抄,小説,135,36,0,0.2683823529411760,0.0036764705882352,緑
僕の友だち二三人,人物記,64,17,0,0.2692307692307690,0.0076923076923076,緑
鼻,小説,165,43,1,0.2620481927710840,0.0090361445783132,緑
大川の水,随筆,72,20,0,0.2808219178082190,0.0068493150684931,緑
或社会主義者,小説,50,14,0,0.284313725490196,0.0098039215686274,緑
解嘲,評論,136,49,0,0.3613138686131390,0.0036496350364963,緑
機関車を見ながら,随筆,73,27,0,0.3716216216216220,0.0067567567567567,緑
或旧友へ送る手記,遺書,115,43,0,0.375,0.0043103448275862,緑
続西方の人,小説,277,105,1,0.3794964028776980,0.0053956834532374,緑
女,小説,53,19,0,0.3611111111111110,0.0092592592592592,緑
