file,genre,total,a,b,p_a_s,p_b_s
合理的、同時に多量の人間味,人物記,34,6,0,0.18571428571428572,0.014285714285714285
点鬼簿,小説,163,30,2,0.18597560975609756,0.01524390243902439
沼,小説,39,7,0,0.1875,0.0125
窓,小説,38,7,0,0.19230769230769232,0.01282051282051282
葱,小説,201,36,2,0.1806930693069307,0.012376237623762377
ピアノ,小説,50,9,0,0.18627450980392157,0.00980392156862745
翻訳小品,翻訳,45,8,0,0.18478260869565216,0.010869565217391304
金将軍,小説,91,15,0,0.16847826086956522,0.005434782608695652
庭,小説,191,32,1,0.16927083333333334,0.0078125
校正後に,跋文,66,11,0,0.17164179104477612,0.007462686567164179
仏蘭西文学と僕,随筆,71,13,0,0.1875,0.006944444444444444
伝吉の敵打ち,小説,189,36,1,0.19210526315789472,0.007894736842105263
樗牛の事,評論,90,16,0,0.1813186813186813,0.005494505494505495
鴉片,随筆,117,21,0,0.18220338983050846,0.00423728813559322
一塊の土,小説,345,67,0,0.19508670520231214,0.001445086705202312
湖南の扇,小説,312,62,0,0.19968051118210864,0.001597444089456869
袈裟と盛遠,小説,221,37,0,0.16891891891891891,0.0022522522522522522
首が落ちた話,小説,197,36,0,0.18434343434343434,0.0025252525252525255
世之助の話,小説,216,47,0,0.21889400921658986,0.002304147465437788
芭蕉雑記,評論,478,107,0,0.2244258872651357,0.0010438413361169101
彼　第二,小説,222,46,1,0.2085201793721973,0.006726457399103139
貉,小説,70,14,0,0.20422535211267606,0.007042253521126761
早春,小説,129,26,0,0.20384615384615384,0.0038461538461538464
本の事,随筆,110,23,0,0.21171171171171171,0.0045045045045045045
大久保湖州,評論,340,70,1,0.20674486803519063,0.004398826979472141
野呂松人形,小説,107,22,0,0.20833333333333334,0.004629629629629629
田端日記,日録,128,12,1,0.09689922480620156,0.011627906976744186
霜夜,随筆,38,3,0,0.08974358974358974,0.01282051282051282
雑筆,随筆,339,39,3,0.1161764705882353,0.010294117647058823
