file,genre,total,a,b,p_a_s,p_b_s,dendro_color
講演軍記,紀行文,22,5,2,0.2391304347826090,0.108695652173913,紫
人及び芸術家としての薄田泣菫氏,人物記,71,9,1,0.1319444444444440,0.0208333333333333,紫
道祖問答,小説,74,10,1,0.14,0.02,紫
続文芸的な、余りに文芸的な,評論,154,20,2,0.132258064516129,0.0161290322580645,紫
俊寛,小説,524,63,9,0.1209523809523810,0.018095238095238,紫
創作,小説,75,9,1,0.125,0.0197368421052631,紫
虱,小説,129,17,4,0.1346153846153850,0.0346153846153846,紫
久米正雄,人物記,17,2,0,0.1388888888888890,0.0277777777777777,紫
父,小説,124,16,3,0.132,0.028,紫
首が落ちた話,小説,197,33,3,0.1691919191919190,0.0176767676767676,紫
LOS CAPRICHOS,散文詩,230,38,5,0.1666666666666670,0.0238095238095238,紫
葱,小説,201,33,5,0.1658415841584160,0.0272277227722772,紫
忠義,小説,445,68,12,0.1535874439461880,0.0280269058295964,紫
金将軍,小説,91,13,2,0.1467391304347830,0.0271739130434782,紫
校正後に,跋文,66,10,1,0.1567164179104480,0.0223880597014925,紫
犬と笛,小説,234,34,5,0.1468085106382980,0.0234042553191489,紫
往生絵巻,戯曲,174,19,4,0.1114285714285710,0.0257142857142857,紫
奉教人の死,小説,337,36,10,0.1079881656804730,0.0310650887573964,紫
悠々荘,小説,74,7,2,0.1,0.0333333333333333,紫
偸盗,小説,1439,153,17,0.1065972222222220,0.0121527777777777,紫
春の日のさした往来をぶらぶら一人歩いてゐる,随筆,41,4,0,0.1071428571428570,0.0119047619047619,紫
病牀雑記,随筆,47,4,0,0.09375,0.0104166666666666,紫
霜夜,随筆,38,3,0,0.0897435897435897,0.0128205128205128,紫
仙人_2,小説,26,2,0,0.0925925925925925,0.0185185185185185,紫
産屋,小説,30,3,0,0.1129032258064520,0.0161290322580645,紫
兄貴のような心持,人物記,22,2,0,0.108695652173913,0.0217391304347826,紫
雑筆,随筆,339,36,6,0.1073529411764710,0.0191176470588235,紫
仙人,小説,140,27,7,0.1950354609929080,0.0531914893617021,紫
東京小品,小説,112,21,5,0.1902654867256640,0.0486725663716814,紫
鼠小僧次郎吉,小説,309,63,11,0.2048387096774190,0.0370967741935483,紫
芋粥,小説,419,90,17,0.2154761904761910,0.0416666666666666,紫
上海游記,紀行文,1174,237,51,0.202127659574468,0.0438297872340425,紫
雑信一束,紀行文,56,11,2,0.2017543859649120,0.043859649122807,紫
早春,小説,129,23,3,0.1807692307692310,0.0269230769230769,紫
鴨猟,追悼文,18,3,0,0.1842105263157890,0.0263157894736842,紫
日本小説の支那訳,評論,50,9,1,0.1862745098039220,0.0294117647058823,紫
着物,小説,49,9,1,0.19,0.03,紫
本の事,随筆,110,19,4,0.1756756756756760,0.0405405405405405,紫
動物園,小説,124,23,4,0.188,0.036,紫
忘れられぬ印象,紀行文,13,2,0,0.1785714285714290,0.0357142857142857,紫
永久に不愉快な二重生活,アンケート,13,2,0,0.1785714285714290,0.0357142857142857,紫
二人の紅毛畫家,評論,14,2,0,0.1666666666666670,0.0333333333333333,紫
軍艦金剛航海記,記録文,207,32,7,0.15625,0.0360576923076923,紫
文章と言葉と,随筆,29,7,0,0.25,0.0166666666666666,紫
一番気乗のする時,随筆,39,10,0,0.2625,0.0125,紫
酒虫,小説,199,52,2,0.2625,0.0125,紫
二人の友,回想,45,11,0,0.25,0.0108695652173913,紫
白,小説,316,75,3,0.2381703470031550,0.0110410094637223,紫
谷崎潤一郎氏,人物記,31,6,0,0.203125,0.015625,紫
小説の読者,評論,23,4,0,0.1875,0.0208333333333333,紫
続野人生計事,随筆,492,94,9,0.191683569979716,0.0192697768762677,紫
ひょっとこ,小説,173,35,3,0.2040229885057470,0.0201149425287356,紫
イズムと云ふ語の意味次第,評論,21,4,0,0.2045454545454550,0.0227272727272727,紫
お時儀,小説,143,32,4,0.2256944444444440,0.03125,紫
食物として,随筆,15,3,0,0.21875,0.03125,紫
さまよえる猶太人,小説,185,40,4,0.2177419354838710,0.0241935483870967,紫
母,小説,335,74,8,0.2217261904761900,0.025297619047619,紫
仙人_1,小説,123,27,3,0.2217741935483870,0.0282258064516129,紫
孤独地獄,小説,89,19,2,0.2166666666666670,0.0277777777777777,紫
煙草と悪魔,小説,175,41,2,0.2357954545454550,0.0142045454545454,紫
しるこ,随筆,38,8,0,0.2179487179487180,0.0128205128205128,紫
好色,小説,382,85,5,0.2232375979112270,0.0143603133159268,紫
拊掌談,断章,65,15,1,0.2348484848484850,0.0227272727272727,紫
煙管,小説,201,48,4,0.2400990099009900,0.0222772277227722,紫
世の中と女,随筆,29,6,0,0.2166666666666670,0.0166666666666666,紫
俳画展覧会を観て,評論,28,6,0,0.2241379310344830,0.0172413793103448,紫
蒐書,随筆,27,6,0,0.2321428571428570,0.0178571428571428,紫
戯作三昧,小説,665,154,12,0.2319819819819820,0.0187687687687687,紫
戯作三昧_1,小説,665,155,12,0.2334834834834840,0.0187687687687687,紫
大正十二年九月一日の大震に際して,随筆,311,69,6,0.2227564102564100,0.0208333333333333,紫
馬の脚,小説,420,96,8,0.2292161520190020,0.0201900237529691,紫
支那の画,随筆,54,12,0,0.2272727272727270,0.009090909090909,紫
青年と死,戯曲,220,50,1,0.2285067873303170,0.006787330316742,紫
芭蕉雑記,評論,478,106,1,0.2223382045929020,0.0031315240083507,紫
野呂松人形,小説,107,22,0,0.2083333333333330,0.0046296296296296,紫
パステルの龍,翻訳,57,8,0,0.146551724137931,0.0086206896551724,紫
僕は,断章,40,6,0,0.1585365853658540,0.0121951219512195,紫
大久保湖州,評論,340,68,3,0.2008797653958940,0.0102639296187683,紫
おぎん,小説,169,32,1,0.1911764705882350,0.0088235294117647,紫
じゅりあの・吉助,小説,58,11,0,0.1949152542372880,0.0084745762711864,紫
鴉片,随筆,117,20,1,0.173728813559322,0.0127118644067796,紫
翻訳小品,翻訳,45,8,0,0.1847826086956520,0.0108695652173913,紫
あばばばば,小説,261,50,3,0.1927480916030530,0.0133587786259541,紫
合理的、同時に多量の人間味,人物記,34,6,0,0.1857142857142860,0.0142857142857142,紫
囈語,断章,9,5,0,0.55,0.05,紫
二つの手紙,小説,298,188,12,0.6304347826086960,0.0418060200668896,紫
地獄変,小説,522,321,23,0.6147227533460800,0.0449330783938814,紫
地獄變,小説,527,325,23,0.6164772727272730,0.0445075757575757,紫
或恋愛小説,小説,195,125,1,0.6403061224489800,0.0076530612244897,紫
教訓談,小説,33,22,0,0.6617647058823530,0.0147058823529411,紫
久米正雄氏の事,人物記,19,12,0,0.625,0.025,紫
竜,小説,132,92,3,0.6954887218045110,0.0263157894736842,紫
ポーの片影,随筆,64,41,8,0.6384615384615380,0.1307692307692310,紫
開化の良人,小説,251,137,38,0.5456349206349210,0.1527777777777780,紫
疑惑,小説,267,137,29,0.5130597014925370,0.1100746268656720,紫
捨児,小説,120,63,10,0.5247933884297520,0.0867768595041322,紫
沼地,小説,62,31,5,0.5,0.0873015873015873,紫
剛才人と柔才人と,アンケート,15,5,1,0.34375,0.09375,紫
haruno_shinzo,翻訳,134,58,10,0.4333333333333330,0.0777777777777777,紫
装幀に就いての私の意見,アンケート,5,2,0,0.4166666666666670,0.0833333333333333,紫
