file,genre,total,a,b,p_a_s,p_b_s,dendro_color
英雄の器,小説,69,1,5,0.0214285714285714,0.0785714285714285,緑
久米正雄氏の事,人物記,19,0,1,0.025,0.075,緑
出来上った人,人物記,20,0,1,0.0238095238095238,0.0714285714285714,緑
仙人_2,小説,26,0,2,0.0185185185185185,0.0925925925925925,緑
素戔嗚尊,小説,1297,40,113,0.0312018489984591,0.087442218798151,緑
飯田蛇笏,人物記,64,1,5,0.023076923076923,0.0846153846153846,緑
老いたる素戔嗚尊,小説,371,9,32,0.0255376344086021,0.0873655913978494,緑
戯作三昧,小説,665,16,58,0.0247747747747747,0.0878378378378378,緑
戯作三昧_1,小説,665,16,58,0.0247747747747747,0.0878378378378378,緑
影,小説,374,6,28,0.0173333333333333,0.076,緑
素描三題,随筆,91,1,6,0.0163043478260869,0.0706521739130434,緑
京都日記,紀行文,106,1,7,0.014018691588785,0.0700934579439252,緑
東洋の秋,小説,34,0,2,0.0142857142857142,0.0714285714285714,緑
久保田万太郎氏,人物記,48,0,2,0.010204081632653,0.0510204081632653,緑
尾生の信,小説,43,0,2,0.0113636363636363,0.0568181818181818,緑
念仁波念遠入礼帖,随筆,40,0,2,0.0121951219512195,0.0609756097560975,緑
窓,小説,38,0,2,0.0128205128205128,0.0641025641025641,緑
詩集,小説,38,0,1,0.0128205128205128,0.0384615384615384,緑
彼の長所十八,人物記,31,0,1,0.015625,0.046875,緑
女仙,小説,33,0,1,0.0147058823529411,0.0441176470588235,緑
微笑,随筆,35,0,1,0.0138888888888888,0.0416666666666666,緑
出帆,小説,88,2,4,0.0280898876404494,0.0505617977528089,緑
春の夜は,断章,51,1,2,0.0288461538461538,0.048076923076923,緑
魚河岸,小説,74,1,3,0.02,0.0466666666666666,緑
黒衣聖母,小説,112,2,5,0.0221238938053097,0.0486725663716814,緑
文反古,小説,133,10,11,0.0783582089552238,0.085820895522388,赤
校正後に,跋文,66,5,5,0.0820895522388059,0.0820895522388059,赤
装幀に就いての私の意見,アンケート,5,0,0,0.0833333333333333,0.0833333333333333,赤
haruno_shinzo,翻訳,134,19,14,0.1444444444444440,0.1074074074074070,赤
塵労,小説,25,4,2,0.173076923076923,0.0961538461538461,赤
桃太郎,小説,142,12,21,0.0874125874125874,0.1503496503496500,赤
拊掌談,断章,65,7,8,0.1136363636363640,0.1287878787878790,赤
私の好きなロマンス中の女性,アンケート,3,0,0,0.125,0.125,赤
カルメン,小説,66,10,16,0.1567164179104480,0.2462686567164180,赤
蛙,小説,61,6,12,0.1048387096774190,0.2016129032258060,赤
「侏儒の言葉」の序,序文,5,0,1,0.0833333333333333,0.25,赤
西洋画のやうな日本画,評論,32,2,7,0.0757575757575757,0.2272727272727270,赤
鑑定,随筆,30,2,6,0.0806451612903225,0.2096774193548390,赤
続野人生計事,随筆,492,20,69,0.0415821501014198,0.140973630831643,赤
都会で,随筆,40,1,5,0.0365853658536585,0.1341463414634150,赤
仙人,小説,140,4,19,0.0319148936170212,0.1382978723404260,赤
久米正雄,人物記,17,0,2,0.0277777777777777,0.1388888888888890,赤
毛利先生,小説,285,8,41,0.0297202797202797,0.1451048951048950,赤
上海游記,紀行文,1174,37,147,0.0319148936170212,0.125531914893617,赤
パステルの龍,翻訳,57,1,7,0.0258620689655172,0.1293103448275860,赤
女,小説,53,1,6,0.0277777777777777,0.1203703703703700,赤
偽者二題,随筆,27,1,2,0.0535714285714285,0.0892857142857142,赤
父,小説,124,6,10,0.052,0.084,赤
夢_1,随筆,27,1,3,0.0535714285714285,0.125,赤
首が落ちた話,小説,197,11,22,0.058080808080808,0.1136363636363640,赤
南京の基督,小説,235,10,23,0.0444915254237288,0.0995762711864406,赤
葱,小説,201,8,23,0.042079207920792,0.1163366336633660,赤
東京小品,小説,112,4,12,0.0398230088495575,0.1106194690265490,赤
沼,小説,39,1,4,0.0375,0.1125,赤
食物として,随筆,15,0,3,0.03125,0.21875,赤
犬養君に就いて,人物記,12,0,3,0.0384615384615384,0.2692307692307690,赤
佐藤春夫氏,人物記,33,1,8,0.0441176470588235,0.25,赤
羅生門,小説,161,7,37,0.0462962962962962,0.2314814814814810,赤
煙管,小説,201,12,34,0.0618811881188118,0.1707920792079210,赤
僕の友だち二三人,人物記,64,3,12,0.0538461538461538,0.1923076923076920,赤
clarimonde,翻訳,849,35,165,0.0417647058823529,0.1947058823529410,赤
漱石山房の冬,小説,80,3,15,0.0432098765432098,0.191358024691358,赤
二人の紅毛畫家,評論,14,0,2,0.0333333333333333,0.1666666666666670,赤
忘れられぬ印象,紀行文,13,0,2,0.0357142857142857,0.1785714285714290,赤
野呂松人形,小説,107,3,19,0.0324074074074074,0.1805555555555560,赤
谷崎潤一郎氏,人物記,31,1,5,0.046875,0.171875,赤
balthasar,翻訳,414,20,64,0.0493975903614457,0.1554216867469880,赤
合理的、同時に多量の人間味,人物記,34,1,5,0.0428571428571428,0.1571428571428570,赤
老年,小説,100,4,16,0.0445544554455445,0.1633663366336630,赤
葬儀記,記録文,140,0,12,0.0035460992907801,0.0886524822695035,赤
案頭の書,随筆,88,0,6,0.0056179775280898,0.0730337078651685,赤
道祖問答,小説,74,0,5,0.0066666666666666,0.0733333333333333,赤
結婚難並びに恋愛難,小説,77,0,11,0.0064102564102564,0.1474358974358970,赤
金将軍,小説,91,0,13,0.0054347826086956,0.1467391304347830,赤
舞踏会,小説,128,0,17,0.003875968992248,0.1356589147286820,赤
人及び芸術家としての薄田泣菫氏,人物記,71,0,9,0.0069444444444444,0.1319444444444440,赤
樗牛の事,評論,90,0,12,0.0054945054945054,0.1373626373626370,赤
或敵打の話,小説,274,0,29,0.0018181818181818,0.1072727272727270,赤
虱,小説,129,0,14,0.0038461538461538,0.1115384615384620,赤
おしの,小説,150,0,18,0.0033112582781456,0.1225165562913910,赤
忠義,小説,445,1,53,0.0033632286995515,0.1199551569506730,赤
点鬼簿,小説,163,0,19,0.0030487804878048,0.1189024390243900,赤
続文芸的な、余りに文芸的な,評論,154,1,19,0.0096774193548387,0.1258064516129030,赤
じゅりあの・吉助,小説,58,0,6,0.0084745762711864,0.1101694915254240,赤
仏蘭西文学と僕,随筆,71,0,8,0.0069444444444444,0.1180555555555560,赤
遺書,遺書,91,0,10,0.0054347826086956,0.1141304347826090,赤
西郷隆盛,小説,319,3,32,0.0109375,0.1015625,赤
軍艦金剛航海記,記録文,207,2,21,0.0120192307692307,0.1033653846153850,赤
不思議な島,小説,247,2,21,0.0100806451612903,0.0866935483870967,赤
保吉の手帳から,小説,345,3,30,0.0101156069364161,0.088150289017341,赤
