file,genre,total,a,b,p_a_s,p_b_s
森先生,人物記,14,0,0,0.03333333333333333,0.03333333333333333
臘梅,詩歌,11,0,0,0.041666666666666664,0.041666666666666664
夏目先生と滝田さん,追悼文,12,0,0,0.038461538461538464,0.038461538461538464
永久に不愉快な二重生活,アンケート,13,0,0,0.03571428571428571,0.03571428571428571
三つの窓,小説,243,11,8,0.0471311475409836,0.03483606557377049
運,小説,205,10,8,0.050970873786407765,0.0412621359223301
囈語,断章,9,0,0,0.05,0.05
恒藤恭氏,人物記,75,3,3,0.046052631578947366,0.046052631578947366
無題,断章,10,0,0,0.045454545454545456,0.045454545454545456
MENSURA ZOILI,小説,151,5,8,0.03618421052631579,0.05592105263157895
雑筆,随筆,339,14,19,0.04264705882352941,0.057352941176470586
捨児,小説,120,3,7,0.028925619834710745,0.06198347107438017
母,小説,335,10,19,0.03125,0.05803571428571429
偸盗,小説,1439,44,97,0.03090277777777778,0.06770833333333333
田端日記,日録,128,4,8,0.03488372093023256,0.06589147286821706
内田百間氏,人物記,22,0,1,0.021739130434782608,0.06521739130434782
耳目記,断章,21,0,1,0.022727272727272728,0.06818181818181818
水の三日,初期文章,131,3,10,0.026515151515151516,0.07954545454545454
秋,小説,369,8,28,0.022972972972972974,0.07702702702702703
英雄の器,小説,69,1,5,0.02142857142857143,0.07857142857142857
久米正雄氏の事,人物記,19,0,1,0.025,0.075
出来上った人,人物記,20,0,1,0.023809523809523808,0.07142857142857142
仙人_2,小説,26,0,2,0.018518518518518517,0.09259259259259259
素戔嗚尊,小説,1297,40,113,0.031201848998459167,0.087442218798151
飯田蛇笏,人物記,64,1,5,0.023076923076923078,0.08461538461538462
老いたる素戔嗚尊,小説,371,9,32,0.025537634408602152,0.08736559139784947
戯作三昧,小説,665,16,58,0.024774774774774775,0.08783783783783784
戯作三昧_1,小説,665,16,58,0.024774774774774775,0.08783783783783784
影,小説,374,6,28,0.017333333333333333,0.076
素描三題,随筆,91,1,6,0.016304347826086956,0.07065217391304347
京都日記,紀行文,106,1,7,0.014018691588785047,0.07009345794392523
東洋の秋,小説,34,0,2,0.014285714285714285,0.07142857142857142
久保田万太郎氏,人物記,48,0,2,0.01020408163265306,0.05102040816326531
尾生の信,小説,43,0,2,0.011363636363636364,0.056818181818181816
念仁波念遠入礼帖,随筆,40,0,2,0.012195121951219513,0.06097560975609756
窓,小説,38,0,2,0.01282051282051282,0.0641025641025641
詩集,小説,38,0,1,0.01282051282051282,0.038461538461538464
彼の長所十八,人物記,31,0,1,0.015625,0.046875
女仙,小説,33,0,1,0.014705882352941176,0.04411764705882353
微笑,随筆,35,0,1,0.013888888888888888,0.041666666666666664
出帆,小説,88,2,4,0.028089887640449437,0.05056179775280899
春の夜は,断章,51,1,2,0.028846153846153848,0.04807692307692308
魚河岸,小説,74,1,3,0.02,0.04666666666666667
黒衣聖母,小説,112,2,5,0.022123893805309734,0.048672566371681415
文放古,小説,133,10,11,0.07835820895522388,0.08582089552238806
校正後に,跋文,66,5,5,0.08208955223880597,0.08208955223880597
装幀に就いての私の意見,アンケート,5,0,0,0.08333333333333333,0.08333333333333333
haruno_shinzo,翻訳,134,19,14,0.14444444444444443,0.10740740740740741
塵労,小説,25,4,2,0.17307692307692307,0.09615384615384616
桃太郎,小説,142,12,21,0.08741258741258741,0.15034965034965034
拊掌談,断章,65,7,8,0.11363636363636363,0.12878787878787878
私の好きなロマンス中の女性,アンケート,3,0,0,0.125,0.125
カルメン,小説,66,10,16,0.15671641791044777,0.2462686567164179
蛙,小説,61,6,12,0.10483870967741936,0.20161290322580644
「侏儒の言葉」の序,序文,5,0,1,0.08333333333333333,0.25
西洋画のやうな日本画,評論,32,2,7,0.07575757575757576,0.22727272727272727
鑑定,随筆,30,2,6,0.08064516129032258,0.20967741935483872
